Terminal log file
Date: 31.07.2023 - 13:07:38
-----------------------------------------------
13:08:13.734> 
Stepper motor with reduction!!! (1/6)13:08:13.734> 
13:08:13.734> 
Total rotation time 97.5 minutes13:08:14.077> 
Time while sunlit 54.5 minutes13:08:14.077> 
Time in shadow 43 minutes13:08:14.077> 
13:08:14.077> 
Rotation angle 20113:08:14.077> 
Motor step 0.05 degrees13:08:14.077> 
Stepper motor should make 13440 steps13:08:14.077> 
The sunlit side lasts 3270 seconds13:08:14.077> 
One step in 243304 microseconds13:08:14.077> 
Total time of orbit 585013:08:14.077> 
13:08:14.077> 
**********************************13:08:14.077> 
13:08:14.077> 
The current angle is:;  0.01;  Step number is:;  0;  The Sun light:;  0;  The shadow:;  0;  Cycle number:;  013:08:19.118> 
The current angle is:;  0.63;  Step number is:;  41;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:08:29.138> 
The current angle is:;  1.25;  Step number is:;  82;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:08:39.145> 
The current angle is:;  1.86;  Step number is:;  123;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:08:49.143> 
The current angle is:;  2.48;  Step number is:;  164;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:08:59.143> 
The current angle is:;  3.09;  Step number is:;  205;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:09:09.090> 
The current angle is:;  3.71;  Step number is:;  246;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:09:19.104> 
The current angle is:;  4.32;  Step number is:;  287;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:09:29.099> 
The current angle is:;  4.94;  Step number is:;  328;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:09:39.098> 
The current angle is:;  5.55;  Step number is:;  369;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:09:49.112> 
The current angle is:;  6.17;  Step number is:;  410;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:09:59.095> 
The current angle is:;  6.78;  Step number is:;  451;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:10:09.096> 
The current angle is:;  7.40;  Step number is:;  492;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:10:19.095> 
The current angle is:;  8.01;  Step number is:;  533;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:10:29.100> 
The current angle is:;  8.63;  Step number is:;  574;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:10:39.102> 
The current angle is:;  9.24;  Step number is:;  615;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:10:49.109> 
The current angle is:;  9.85;  Step number is:;  656;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:10:59.103> 
The current angle is:;  10.47;  Step number is:;  697;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:11:09.095> 
The current angle is:;  11.09;  Step number is:;  738;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:11:19.096> 
The current angle is:;  11.70;  Step number is:;  779;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:11:29.112> 
The current angle is:;  12.31;  Step number is:;  820;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:11:39.119> 
The current angle is:;  12.93;  Step number is:;  861;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:11:49.110> 
The current angle is:;  13.55;  Step number is:;  902;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:11:59.075> 
The current angle is:;  14.16;  Step number is:;  943;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:12:09.075> 
The current angle is:;  14.77;  Step number is:;  984;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:12:19.099> 
The current angle is:;  15.39;  Step number is:;  1025;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:12:29.089> 
The current angle is:;  16.00;  Step number is:;  1066;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:12:39.095> 
The current angle is:;  16.62;  Step number is:;  1107;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:12:49.097> 
